metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Asistencia a la sesión solemne del 04-11-2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/68C1838137F744CA0525878900753040/$FILE/Asis_vot_OFICIAL_04-11-21.pdf
dia,2021-11-04
hora,09:43
quorum,64
