metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,22:48
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 1147 Y 1269, QUE PROPONE MODIFICAR EL DECRETO LEGISLATIVO 1297, DECRETO LEGISLATIVO PARA LA PROTECCIÓN DE NIÑAS, NIÑOS Y ADOLESCENTES SIN CUIDADOS PARENTALES O EN RIESGO DE PERDERLOS"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
