metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 28 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D513E2F2A01D5BDC0525883A0076BF02/$FILE/Asis_vot_OFICIAL_28-04-22.pdf
dia,2022-04-28
hora,21:03
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 641, QUE PROPONE MODIFICAR LA LEY 28091, LEY DEL SERVICIO DIPLOMÁTICO DE LA REPÚBLICA E INCORPORAR NUEVOS REQUISITOS PARA GARANTIZAR EL NOMBRAMIENTO MERITOCRÁTICO Y TRANSPARENTE DE EMBAJADORES DE CONFIANZA O REPRESENTANTE ANTE ORGANISMOS INTERNACIONALES A CARGO DEL PRESIDENTE DE LA REPÚBLICA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
