metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 10 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/70594223943131300525880600718C06/$FILE/Asis_vot_OFICIAL_10-03-22.pdf
dia,2022-03-10
hora,19:40
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 259, QUE PROPONE LA LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN, EQUIPAMIENTO Y MEJORAMIENTO DEL MERCADO DE ABASTOS VINOCANCHÓN DEL DISTRITO DE SAN JERÓNIMO, PROVINCIA Y DEPARTAMENTO DE CUZCO."
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,60
