metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de octubre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DDC8C7746FFD9C1505258790006CEDEF/$FILE/Asis_vot_OFICIAL_28.10.21.pdf
dia,2021-10-28
hora,16:32
quorum,62
