metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 09 de setiembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/A9400F86710FD94C052587510071B700/$FILE/Asis_vot_OFICIAL_09-09-21.pdf
dia,2021-09-09
hora,10:29
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 160, QUE AUTORIZA AL SEÑOR PRESIDENTE DE LA REPÚBLICA PARA SALIR DEL TERRITORIO NACIONAL DEL 17 AL 22 DE SETIEMBRE DE 2021"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
