metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 27 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/DB6D4B0678815E630525883900747995/$FILE/Asis_vot_OFICIAL_27-04-2022.pdf
dia,2022-04-27
hora,17:34
asunto,"PROYECTO DE RESOLUCIÓN DEL CONGRESO QUE DECLARA HABER LUGAR A LA FORMACIÓN DE CAUSA CONTRA ENRIQUE SALAVERRY VILLA, EN SU CONDICIÓN DE EXCONGRESISTA, POR LA PRESUNTA COMISIÓN DE LOS DELITOS DE PECULADO DOLOSO, FALSEDAD IDEOLÓGICA Y FALSEDAD GENÉRICA, TIPIFICADOS EN LOS ARTICULOS 387, 429 Y438 DEL CÓDIGO PENAL, RESPECTIVAMENTE, EN AGRAVIO DEL ESTADO PERUANO (DENUNCIAS CONSTITUCIONALES 135,139 Y 143)."
presidente,"CAMONES SORIANO, LADY  MERCEDES"
quorum,60
