metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 12 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F7C734009F8665A7052587D0005236BC/$FILE/Asis_vot_OFICIAL_12-01-2022_2.pdf
dia,2022-01-12
hora,17:34
asunto,"CUESTIÓN PREVIA PARA QUE RETORNEN A LA COMISIÓN DE ECONOMÍA LOS PROYECTOS DE LEY 94, 150, 436 Y 553, QUE PROPONEN LA LEY DE PROMOCIÓN Y FORTALECIMIENTO DE LA ACUICULTURA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
