metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 28 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/D513E2F2A01D5BDC0525883A0076BF02/$FILE/Asis_vot_OFICIAL_28-04-22.pdf
dia,2022-04-28
hora,20:05
asunto,"CUESTIÓN PREVIA PARA QUE RETORNE A LA COMISIÓN DE VIVIENDA Y PASE A LA COMISIÓN DE DESCENTRALIZACIÓN EL PROYECTO DE LEY 600, QUE PROPONE IMPEDIR LA TITULACIÓN DE CORRALONES Y LOTES EN ABANDONO EN LOS PROCESOS DE FORMALIZACIÓN"
presidente,"WONG PUJADA, ENRIQUE"
quorum,61
