metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 02 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/04E0B1A815D8B9F5052587DD00668A3A/$FILE/Asis_vot_OFICIAL_2-02-22.pdf
dia,2022-02-02
hora,20:52
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 237 (ACTUALIZADO), QUE APRUEBA EL CONVENIO SOBRE TRASLADO DE PERSONAS CONDENADAS ENTRE LA REPÚBLICA DEL PERÚ Y LA REPÚBLICA DE COSTA RICA"
presidente,"WONG PUJADA, ENRIQUE"
quorum,63
