metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 13 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/1301E580ECD7F2D8052587D000541778/$FILE/Asis_vot_OFICIAL_13-01-2022_3.pdf
dia,2022-01-13
hora,18:40
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 680 Y 834, QUE PROPONE LA LEY QUE PROMUEVE LA PROTECCIÓN Y DESARROLLO INTEGRAL DE LAS NIÑAS, NIÑOS Y ADOLESCENTES QUE SE ENCUENTRAN EN SITUACIÓN DE ORFANDAD"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
