metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,23:19
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 468, PROPONE QUE EL CONGRESO DE LA REPÚBLICA CONFORME UNA COMISIÓN ESPECIAL MULTIPARTIDARIA ENCARGADA DE REALIZAR UN TRABAJO EN CONJUNTO CON LA COMISIÓN NACIONAL PARA EL DESARROLLO Y VIDA SIN DROGAS (DEVIDA) Y LAS ENTIDADES DEL ESTADO PERUANO RESPONSABLES DE LOS OBJETIVOS PRIORITARIOS Y LINEAMIENTOS EN LA LUCHA FRONTAL CONTRA EL NARCOTRÁFICO, EN BENEFICIO Y SALVAGUARDA DE LAS COMUNIDADES NATIVAS, CASERÍOS, CENTRO."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
