numero,grupo_parlamentario,congresista,votacion,
1,APP,"ACUÑA PERALTA, MARÍA GRIMANEZA",NO,
2,APP,"ACUÑA PERALTA, SEGUNDO HÉCTOR",NO,
3,PL,"AGÜERO GUTIÉRREZ, MARÍA ANTONIETA",NO,
4,FP,"AGUINAGA RECUENCO, ALEJANDRO AURELIO",SI,
5,SP-PM,"ALCARRAZ AGUERO, YOREL KIRA",ABST,
6,FP,"ALEGRÍA GARCÍA, ARTURO",SI,
7,AP,"ALVA PRIETO, MARÍA DEL CARMEN",SINRES, 
8,AP,"ALVA ROJAS, CARLOS ENRIQUE",ABST,
9,AP-PIS,"AMURUZ DULANTO, YESSICA ROSSELLI",SI,
10,PP,"ANDERSON RAMÍREZ, CARLOS ANTONIO",NO,
11,AP,"ARAGÓN CARREÑO, LUIS ÁNGEL",SI,
12,AP,"ARRIOLA TUEROS, JOSÉ ALBERTO",SI,
13,SP-PM,"AZURÍN LOAYZA, ALFREDO",NO,
14,PL,"BALCÁZAR ZELADA, JOSÉ MARÍA",NO,
15,FP,"BARBARÁN REYES, ROSANGELLA ANDREA",SI,
16,AP-PIS,"BAZÁN CALDERÓN, DIEGO ALONSO FERNANDO",SI,
17,JPP,"BAZÁN NARRO, SIGRID TESORO",AUS,
18,PL,"BELLIDO UGARTE, GUIDO",LO,
19,PL,"BERMEJO ROJAS, GUILLERMO",SINRES,
20,AP-PIS,"BURGOS OLIVEROS, JUAN BARTOLOMÉ",LE,
21,FP,"BUSTAMANTE DONAYRE, ERNESTO",SI,
22,PP,"CALLE LOBATÓN, DIGNA",NO,
23,APP,"CAMONES SORIANO, LADY MERCEDES",NO,
24,FP,"CASTILLO RIVAS, EDUARDO ENRIQUE",SI,
25,AP-PIS,"CAVERO ALVA, ALEJANDRO ENRIQUE",SI,
26,PL,"CERRÓN ROJAS, WALDEMAR JOSÉ",NO,
27,FP,"CHACÓN TRUJILLO, NILZA MERLY",SI,
28,PL,"CHÁVEZ CHINO, BETSSY BETZABET",NO,
29,APP,"CHIABRA LEÓN, ROBERTO ENRIQUE",SI,
30,AP-PIS,"CHIRINOS VENEGAS, PATRICIA ROSA",SI,
31,RP,"CICCIA VÁSQUEZ, MIGUEL ANGEL",SI,
32,PL,"COAYLA JUÁREZ, JORGE SAMUEL",NO,
33,FP,"CORDERO JON TAY, LUIS GUSTAVO",SI,
34,FP,"CORDERO JON TAY, MARÍA DEL PILAR",SI,
35,AP-PIS,"CÓRDOVA LOBATÓN, MARÍA JESSICA",SI,
36,JPP,"CORTEZ AGUIRRE, ISABEL",AUS,
37,PL,"CRUZ MAMANI, FLAVIO",NO,
38,RP,"CUETO ASERVI, JOSÉ ERNESTO",SI,
39,PL,"CUTIPA CCAMA, VÍCTOR RAÚL",NO,
40,PL,"DÁVILA ATANACIO, PASIÓN NEOMIAS",NO,
41,APP,"DÍAZ MONAGO, FREDDY RONALD",NO,
42,AP,"DOROTEO CARBAJO, RAÚL FELIPE",NO,
43,APP,"ECHAÍZ DE NÚÑEZ IZAGA, GLADYS MARGOT",SI,
44,PL,"ECHEVERRÍA RODRÍGUEZ, HAMLET",NO,
45,SP-PM,"ELERA GARCÍA, WILMAR ALBERTO",NO,
46,PP,"ELÍAS ÁVALOS, JOSÉ LUIS",AUS,
47,AP,"ESPINOZA VARGAS, JHAEC DARWIN",NO,
48,AP,"FLORES ANCACHI, JORGE LUIS",NO,
49,PL,"FLORES RAMÍREZ, ALEX RANDU",NO,
50,FP,"FLORES RUÍZ, VÍCTOR SEFERINO",SI,
51,APP,"GARCÍA CORREA, IDELSO MANUEL",NO,
52,PL,"GONZA CASTILLO, AMERICO",NO,
53,AP-PIS,"GONZALES DELGADO, DIANA CAROLINA",SI,
54,FP,"GUERRA GARCÍA, CAMPOS HERNANDO",SI,
55,PL,"GUTIÉRREZ TICONA, PAUL SILVIO",AUS,
56,PL,"HERRERA MAMANI, FERNANDO MARIO",NO,
57,RP,"HERRERA MEDINA, NOELIA ROSSVITH",SI,
58,FP,"HUAMÁN CORONADO, RAÚL",SI,
59,FP,"INFANTES CASTAÑEDA, MERY ELIANA",LO,
60,RP,"JÁUREGUI MARTÍNEZ DE AGUAYO, MARÍA DE LOS MILAGROS JACKELINE",SI,
61,SP-PM,"JERI ORÉ, JOSÉ ENRIQUE",NO,
62,FP,"JIMÉNEZ HEREDIA, DAVID JULIO",SI,
63,APP,"JUÁREZ CALLE, HEIDY LISBETH",NO,
64,FP,"JUÁREZ GALLEGOS, CARMEN PATRICIA",SI,
65,APP,"JULON IRIGOIN, ELVA EDHIT",NO,
66,PL,"KAMICHE MORANTE, LUIS ROBERTO",NO,
67,FP,"LIZARZABURU LIZARZABURU, JUAN CARLOS MARTIN",SI,
68,FP,"LÓPEZ MORALES, JENY LUZ",SI,
69,AP,"LÓPEZ UREÑA, ILICH FREDY",NO,
70,PP,"LUNA GÁLVEZ, JOSÉ LEÓN",ABST,
71,JPP,"LUQUE IBARRA, RUTH",AUS,
72,SP-PM,"MÁLAGA TRILLO, GEORGE EDWARD",NO,
