metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 16 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/F2F7A5E692A6C48E05258808001ABFD1/$FILE/asistencia-y-votaciones-OFICIALES-del-16-03-2022.pdf
dia,2022-03-16
hora,22:22
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 395, QUE PROPONE LA LEY QUE DECLARA EL 22 DE MARZO DE CADA AÑO DÍA DE LOS TRABAJADORES Y TRABAJADORAS DEL SECTOR DE AGUA POTABLE Y SANEAMIENTO."
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,61
