metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 31 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/01CDED070EFD1DB80525881C00748B53/$FILE/Asis_vot_OFICIAL_31-03-22.pdf
dia,2022-03-31
hora,19:23
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 202, QUE PROPONE DECLARAR EL PRIMER DOMINGO DEL MES DE FEBRERO COMO DÍA NACIONAL DEL CONSUMO DE PESCADO"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,59
