metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 08 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/83800189E262A00E05258806006F4B38/$FILE/Asis_vot_OFICIAL_08-03-22.pdf
dia,2022-03-08
hora,12:00
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 699, QUE PROPONE LA LEY QUE DECLARA EL 9 DE NOVIEMBRE COMO DIA NACIONAL DE LA ELIMINACIÓN DE LA VIOLENCIA SEXUAL CONTRA NIÑAS Y ADOLESCENTES "
presidente,"WONG PUJADA, ENRIQUE"
quorum,62
