metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del pleno del Congreso de la República
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C7E242AA0224776B05258782005DC225/$FILE/Asis_vot_OFICIAL_21-10-21.pdf
dia,2021-10-21
hora,13:32
asunto,"DICTAMEN DE LA COMISIÓN DE PRESUPUESTO Y CUENTA GENERAL DE LA REPUBLICA, RECAÍDO EN EL PROYECTO DE LEY 28, QUE RECOMIENDA NO APROBAR LA CUENTA GENERAL DE LA REPÚBLICA CORRESPONDIENTE AL EJERCICIO FISCAL 2020"
presidente,"WONG PUJADA, ENRIQUE"
quorum,65
