numero,grupo_parlamentario,congresista,votacion,
93,PL,"PARIONA SINCHE, ALFREDO",SI,
94,APP,"PICÓN QUEDO, LUIS RAÚL",SI,
95,PL,"PORTALATINO ÁVALOS, KELLY ROXANA",SI,
96,AP,"PORTERO LÓPEZ, HILDA MARLENY",SI,
97,PL,"QUIROZ BARBOZA, SEGUNDO TEODOMIRO",SI,
98,PL,"QUISPE MAMANI, WILSON RUSBEL",AUS,
99,PL,"QUITO SARMIENTO, BERNARDO JAIME",SI,
100,FP,"RAMÍREZ GARCÍA, TANIA ESTEFANY",SI,
101,FP,"REVILLA VILLANUEVA, CÉSAR MANUEL",SI,
102,PL,"REYES CAM, ABEL AUGUSTO",SI,
103,JPP,"REYMUNDO MERCADO, EDGARD CORNELIO",SI,
104,PL,"RIVAS CHACARA, JANET MILAGROS",SI,
105,PL,"ROBLES ARAUJO, SILVANA EMPERATRIZ",SI,
106,APP,"RUÍZ RODRÍGUEZ, MAGALY ROSMERY",SI,
107,SP-PM,"SAAVEDRA CASTERNOQUE, HITLER",SI,
108,APP,"SALHUANA CAVIDES, EDUARDO",SI,
109,JPP,"SÁNCHEZ PALOMINO, ROBERTO HELBERT",SI,
110,AP,"SOTO PALACIOS, WILSON",SI,
111,APP,"SOTO REYES, ALEJANDRO",SI,
112,PL,"TACURI VALDIVIA, GERMÁN ADOLFO",SI,
113,PL,"TAIPE CORONADO, MARÍA ELIZABETH",SI,
114,PL,"TELLO MONTES, NIVARDO EDGAR",SI,
115,APP,"TORRES SALINAS, ROSIO",LO,
116,APP,"TRIGOZO REÁTEGUI, CHERYL",SI,
117,AVP,"TUDELA GUTIÉRREZ, ADRIANA JOSEFINA",SI,
118,PL,"UGARTE MAMANI, JHAKELINE KATY",SI,
119,SP-PM,"VALER PINTO, HÉCTOR",AUS,
120,PL,"VARAS MELÉNDEZ, ELÍAS MARCIAL",SI,
121,PL,"VÁSQUEZ VELA, LUCINDA",SI,
122,FP,"VENTURA ANGEL, HÉCTOR JOSÉ",SI,
123,AP,"VERGARA MENDOZA, ELVIS HERNÁN",SI,
124,AVP,"WILLIAMS ZAPATA, JOSÉ DANIEL",SI,
125,PP,"WONG PUJADA, ENRIQUE",SINRES,
126,AVP,"YARROW LUMBRERAS, NORMA MARTINA",SI,
127,PL,"ZEA CHOQUECHAMBI, OSCAR",SI,
128,RP,"ZEBALLOS APONTE, JORGE ARTURO",SI,
129,AP,"ZEBALLOS MADARIAGA, CARLOS JAVIER",SI,
130,FP,"ZETA CHUNGA, CRUZ MARÍA",SI,
