metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 17 de diciembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/49B6BC3EA180A988052587B3006312A8/$FILE/Asis_vot_OFICIAL_17-12-21.pdf
dia,2021-12-17
hora,13:54
asunto,"CUESTIÓN PREVIA PARA QUE PASE A LA COMISIÓN DE EDUCACIÓN EL PROYECTO DE LEY 984, QUE PROPONE LA LEY QUE INCORPORA UNA DISPOSICIÓN COMPLEMENTARIA, TRANSITORIA Y FINAL A LA LEY 29944, LEY DE REFORMA MAGISTERIAL"
presidente,CAMONES SORIANO LADY MERCEDES
quorum,62
