metadato,valor
dia,2021-08-19
hora,18:38
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 023, QUE PROPONE REACTIVAR LA COMISIÓN ESPECIAL MULTIPARTIDARIA DE SEGUIMIENTO AL PROCESO DE RECONSTRUCCIÓN EN LAS ZONAS AFECTADAS POR EL FENÓMENO DE EL NIÑO COSTERO, CON EL OBJETO DE CONTINUAR CON LOS ENCARGADOS QUE RECIBIÓ LA COMISIÓN ESPECIAL MULTIPARTIDARIA CONSTITUIDA CON EL MISMO FIN MEDIANTE ACUERDO DEL PLENO DEL 22 DE JUNIO DE 2017, LA REACTIVACIÓN COMPRENDE EL PERIODO 2021-2022"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,64
