metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 08 de marzo de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/83800189E262A00E05258806006F4B38/$FILE/Asis_vot_OFICIAL_08-03-22.pdf
dia,2022-03-08
hora,14:03
asunto,"TEXTO SUSTITUTORIO DE LOS PROYECTOS DE LEY 668 Y 1073, QUE PROPONE MOIFICAR LA LEY 30364, LEY PARA PREVENIR SANCIONAR Y ERRDICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR, CON LA FINALIDAD DE FORTALECER LAS INSTANCIAS DE CONCERTACIÓN, SEAN ESTAS REGIONALES, PROVINCIALES O DISTRITALES"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,62
