metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 28 de febrero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/382A2B3794256920052587F9006F8789/$FILE/Asis_vot_OFICIAL_28-02-22.pdf
dia,2022-02-28
hora,19:11
asunto,"ADMISIÓN A DEBATE DE LA MOCIÓN 2015, QUE PROPONE CENSURAR A LOS INTEGRANTES DE LA MESA DIRECTIVA DEL CONGRESO, CONGRESISTAS MARÍA DEL CARMEN ALVA PRIETO, PRESIDENTA; Y LADY CAMONES SORIANO, PRIMERA VICEPRESIDENTA."
presidente,"WONG PUJADA, ENRIQUE"
quorum,64
