metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Segunda Legislatura Ordinaria
sesion,Sesión virtual del 7 de abril de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/C2160BA5634F875F05258829005CBD64/$FILE/Asis_vot_OFICIAL_07-04-2022.pdf
dia,2022-04-07
hora,17:52
asunto,"EXONERACIÓN DE LA SEGUNDA VOTACIÓN DEL TEXTO SUSTITUTORIO DEL PROYECTO DE LEY 464, QUE PROPONE MODIFICAR LA LEY 30432, LEY QUE PROMUEVE Y GARANTIZA LA PRÁCTICA DEL DEPORTE Y LA EDUCACIÓN FÍSICA EN LOS DIFERENTES NIVELES DE LA EDUCACIÓN BÁSICA PÚBLICA, ENGRANADO EN LA POLÍTICA NACIONAL DEL DEPORTE"
presidente,"CAMONES SORIANO, LADY MERCEDES"
quorum,59
