metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 31 de enero de 2022
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/CE4D3E61BBBD3DAA052587DE00741E21/$FILE/Asis_vot_OFICIAL_31-01-22.pdf
dia,2022-01-31
hora,20:08
asunto,"PROYECTO DE RESOLUCIÓN LEGISLATIVA 226 (ACTUALIZADO), QUE APRUEBA EL TRATADO SOBRE EL TRASLADO DE PERSONAS CONDENADAS ENTRE LA REPÚBLICA DEL PERÚ Y LA REPÚBLICA DE COLOMBIA"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,63
