metadato,valor
periodo_parlamentario,2021-2026
periodo_anual,2021-2022
legislatura,Primera Legislatura Ordinaria
sesion,Sesión virtual del 18 de noviembre de 2021
url_pdf,https://www2.congreso.gob.pe/Sicr/RelatAgenda/PlenoComiPerm20112016.nsf/Apleno/95083BB58291E1A10525879700502873/$FILE/Asis_vot_OFICIAL_18-11-2021.pdf
dia,2021-11-18
hora,13:01
asunto,"TEXTO SUSTITUTORIO DEL PROYECTO DE RESOLUCIÓN LEGISLATIVA 219 (ACTUALIZADO), QUE APRUEBA LA CONSTITUCIÓN DEL CENTRO PARA LOS SERVICIOS DE INFORMACIÓN Y ASESORAMIENTO SOBRE LA COMERCIALIZACIÓN DE LOS PRODUCTOS PESQUEROS EN AMÉRICA LATINA Y EL CARIBE (INFOPESCA)"
presidente,"ALVA PRIETO, MARÍA DEL CARMEN"
quorum,59
